site,mean_bugs,sd_bugs,max_bugs
Bondi Beach,18.775449101796408,51.858381847255124,600
Bronte Beach,31.420895522388058,126.45717901702592,1400
Clovelly Beach,10.218562874251496,26.358640189569382,360
Coogee Beach,39.37758112094395,109.0780577897,1200
Gordons Bay (East),24.900621118012424,120.46034261496682,1500
Little Bay Beach,45.61011904761905,296.9288468242917,4900
Malabar Beach,68.11436950146627,214.25571953096994,2500
Maroubra Beach,20.17910447761194,123.30449207414426,2100
South Maroubra Beach,15.705357142857142,77.0346661712172,1200
South Maroubra Rockpool,63.89808917197452,209.54256232958252,1700
Tamarama Beach,35.72835820895522,128.77425683475855,1100
